feature,mutual_information
ap_hi,0.1191450254985349
ap_lo,0.07735473456155106
age,0.03480433017811957
cholesterol,0.02959848619475558
weight,0.015998361496591285
gluc,0.006643311275045027
active,0.006501943644154018
gender,0.004724176455505491
height,0.0013419185059742045
smoke,0.00010434760446842439
alco,0.0
