feature,importance
age,0.2700381451932412
weight,0.1885292450821279
height,0.16827844584865748
ap_hi,0.12092815976008622
ap_lo,0.10488211879874373
cholesterol,0.03577345244832225
gluc,0.03092430946056713
gender,0.02215185539694024
active,0.021190419139187767
smoke,0.0196864998307797
alco,0.01761734904134611
