fold,epoch,accuracy,loss,val_accuracy,val_loss,val_pr_auc
1,1,0.6936643123626709,0.6213719248771667,0.7228323817253113,0.5613218545913696,0.7808786247875574
1,2,0.7232441902160645,0.5630082488059998,0.728011429309845,0.5480179190635681,0.7830393763136798
1,3,0.7288476228713989,0.5556542277336121,0.7308688163757324,0.5460603833198547,0.7837564822503835
1,4,0.7308791279792786,0.5530808568000793,0.7312260270118713,0.5448700189590454,0.784414792625304
1,5,0.7320846319198608,0.5514248013496399,0.732208251953125,0.5442175269126892,0.785293244977594
1,6,0.7328213453292847,0.5502132177352905,0.7327439785003662,0.5433619022369385,0.7855754467612946
1,7,0.733111560344696,0.5493870377540588,0.7317617535591125,0.5428543090820312,0.7844615941956286
1,8,0.7345403432846069,0.5488771796226501,0.7332797646522522,0.5423291921615601,0.7847367323872771
1,9,0.7341384887695312,0.5486539006233215,0.7344405651092529,0.5420350432395935,0.786033494365066
1,10,0.7351431250572205,0.5477893948554993,0.7340834140777588,0.5414393544197083,0.7859142068094696
1,11,0.734696626663208,0.5473619699478149,0.7343512773513794,0.5413738489151001,0.7857987005443545
1,12,0.7351877689361572,0.5469975471496582,0.7345298528671265,0.5413370132446289,0.7855860817116862
1,13,0.7348305583000183,0.5468246936798096,0.7350656390190125,0.5411219596862793,0.7863171325568608
1,14,0.7357012033462524,0.5474518537521362,0.7348870635032654,0.541323721408844,0.785603827139015
1,15,0.7359691262245178,0.5469856858253479,0.7341727018356323,0.5409479141235352,0.7864964441073121
1,16,0.7363486289978027,0.5461949110031128,0.734619140625,0.5407161116600037,0.7856887123337035
1,17,0.7365049123764038,0.5465316772460938,0.7338154911994934,0.540911853313446,0.7856075047393535
1,18,0.738089919090271,0.5459582209587097,0.7344405651092529,0.5408363938331604,0.7856007364292305
1,19,0.736839771270752,0.5458493232727051,0.7343512773513794,0.5409623980522156,0.7857812159073009
1,20,0.7374871373176575,0.5457632541656494,0.7344405651092529,0.5404106378555298,0.786263331461147
1,21,0.7374871373176575,0.5441516041755676,0.7355120778083801,0.5403164029121399,0.7859461593600487
1,22,0.7376211285591125,0.5452433824539185,0.7347084283828735,0.5404847860336304,0.7854875068930297
1,23,0.7375764846801758,0.5438099503517151,0.7339048385620117,0.5404914021492004,0.7860654937663522
1,24,0.7372192740440369,0.5437270402908325,0.7343512773513794,0.5403765439987183,0.7862522924332519
