feature,mutual_info,univariate_auc,is_binary,variance,selected
ap_hi,0.12013938313968686,0.7525181035830181,False,456.56792764734894,True
pulse_pressure,0.07444715901268073,0.6954321212674339,False,185.1942261996313,True
weight,0.014701554475442302,0.6054650412524026,False,207.13982613460416,True
height,0.0,0.49282653092239503,False,65.56320333437087,True
bp_stage,0.1016588698545009,0.7243568634885256,False,1.0351356287486626,False
ap_lo,0.07759071042882626,0.6941092376187421,False,132.9485519584765,False
cholesterol,0.032106290465466536,0.5943365688427085,False,0.4627704356120218,False
age_years,0.03003481402287811,0.6358671343192992,False,45.78336873722342,False
age_group,0.027062794210946706,0.6115611784028192,False,0.5478983262366411,False
cholesterol_category,0.0261479435710954,0.5943365688427085,False,0.4627704356120218,False
bmi_group,0.021813941678016313,0.6002365031194998,False,0.6544507486266147,False
bmi,0.019956322642853186,0.6149577583913444,False,30.582032014273516,False
gender,0.007678345993817004,0.5038673187696865,False,0.22736932022866954,False
active,0.007548294145726775,0.4858377600439676,True,0.15774747819208781,False
lifestyle_risk,0.006748445169284745,0.5072137044106607,False,0.15022657562422032,False
glucose_category,0.006310696791830495,0.5328067325126243,False,0.32752483979133934,False
gluc,0.006230135838276807,0.5328067325126243,False,0.32752483979133934,False
alco,0.001335208291664447,0.4983463626765335,True,0.05088627408211143,False
smoke,0.0008958758870609707,0.4956095226942053,True,0.08037137207061741,False
