fold,feature,mean_attention,std_attention,n_samples
fold_0,gender,0.04786491021513939,,11199
fold_0,height,0.08998922258615494,,11199
fold_0,weight,0.04283445328474045,,11199
fold_0,ap_hi,0.04277975857257843,,11199
fold_0,ap_lo,0.06647556275129318,,11199
fold_0,cholesterol,0.03721746802330017,,11199
fold_0,gluc,0.033873509615659714,,11199
fold_0,smoke,0.05188007280230522,,11199
fold_0,alco,0.025215988978743553,,11199
fold_0,active,0.09994500130414963,,11199
fold_0,age_years,0.034331511706113815,,11199
fold_0,age_group,0.08272538334131241,,11199
fold_0,bmi,0.06285522878170013,,11199
fold_0,bmi_group,0.06579435616731644,,11199
fold_0,pulse_pressure,0.042203523218631744,,11199
fold_0,bp_stage,0.0555461123585701,,11199
fold_0,cholesterol_category,0.02415214106440544,,11199
fold_0,glucose_category,0.041434772312641144,,11199
fold_0,lifestyle_risk,0.0528779961168766,,11199
fold_1,gender,0.05076998844742775,,11199
fold_1,height,0.03903309255838394,,11199
fold_1,weight,0.06385863572359085,,11199
fold_1,ap_hi,0.01962946727871895,,11199
fold_1,ap_lo,0.02870156615972519,,11199
fold_1,cholesterol,0.02949121780693531,,11199
fold_1,gluc,0.031045138835906982,,11199
fold_1,smoke,0.07984554767608643,,11199
fold_1,alco,0.09889480471611023,,11199
fold_1,active,0.034719113260507584,,11199
fold_1,age_years,0.06466939300298691,,11199
fold_1,age_group,0.04777424782514572,,11199
fold_1,bmi,0.09875213354825974,,11199
fold_1,bmi_group,0.024212511256337166,,11199
fold_1,pulse_pressure,0.0906820222735405,,11199
fold_1,bp_stage,0.040595218539237976,,11199
fold_1,cholesterol_category,0.0405082069337368,,11199
fold_1,glucose_category,0.09082001447677612,,11199
fold_1,lifestyle_risk,0.025990627706050873,,11199
fold_2,gender,0.07089558243751526,,11199
fold_2,height,0.022209836170077324,,11199
fold_2,weight,0.0351816825568676,,11199
fold_2,ap_hi,0.03628723323345184,,11199
fold_2,ap_lo,0.05768253281712532,,11199
fold_2,cholesterol,0.0481787770986557,,11199
fold_2,gluc,0.057472679764032364,,11199
fold_2,smoke,0.07127351313829422,,11199
fold_2,alco,0.036714524030685425,,11199
fold_2,active,0.045825641602277756,,11199
fold_2,age_years,0.042838241904973984,,11199
fold_2,age_group,0.0712781473994255,,11199
fold_2,bmi,0.09701430052518845,,11199
fold_2,bmi_group,0.058152977377176285,,11199
fold_2,pulse_pressure,0.07272834330797195,,11199
fold_2,bp_stage,0.04067379608750343,,11199
fold_2,cholesterol_category,0.05289341136813164,,11199
fold_2,glucose_category,0.04876356199383736,,11199
fold_2,lifestyle_risk,0.033934202045202255,,11199
fold_3,gender,0.06686658412218094,,11198
fold_3,height,0.11621799319982529,,11198
fold_3,weight,0.05797652527689934,,11198
fold_3,ap_hi,0.044202882796525955,,11198
fold_3,ap_lo,0.042958687990903854,,11198
fold_3,cholesterol,0.0471179373562336,,11198
fold_3,gluc,0.04876779392361641,,11198
fold_3,smoke,0.052377015352249146,,11198
fold_3,alco,0.02672445960342884,,11198
fold_3,active,0.05354544147849083,,11198
fold_3,age_years,0.024000126868486404,,11198
fold_3,age_group,0.03568631410598755,,11198
fold_3,bmi,0.07338773459196091,,11198
fold_3,bmi_group,0.0541960783302784,,11198
fold_3,pulse_pressure,0.1016666367650032,,11198
fold_3,bp_stage,0.02583949640393257,,11198
fold_3,cholesterol_category,0.03604640066623688,,11198
fold_3,glucose_category,0.027344275265932083,,11198
fold_3,lifestyle_risk,0.06507668644189835,,11198
fold_4,gender,0.037774570286273956,,11198
fold_4,height,0.038251735270023346,,11198
fold_4,weight,0.04833868891000748,,11198
fold_4,ap_hi,0.05314389988780022,,11198
fold_4,ap_lo,0.04434124380350113,,11198
fold_4,cholesterol,0.05824825540184975,,11198
fold_4,gluc,0.03300662711262703,,11198
fold_4,smoke,0.04875883087515831,,11198
fold_4,alco,0.03890831768512726,,11198
fold_4,active,0.06451306492090225,,11198
fold_4,age_years,0.037736013531684875,,11198
fold_4,age_group,0.02438141591846943,,11198
fold_4,bmi,0.0452585406601429,,11198
fold_4,bmi_group,0.11050637066364288,,11198
fold_4,pulse_pressure,0.053247805684804916,,11198
fold_4,bp_stage,0.09007004648447037,,11198
fold_4,cholesterol_category,0.040953777730464935,,11198
fold_4,glucose_category,0.10620786249637604,,11198
fold_4,lifestyle_risk,0.026352081447839737,,11198
global,gender,0.05483430624008179,0.09725398570299149,55993
global,height,0.06113935634493828,0.10122275352478027,55993
global,weight,0.049637701362371445,0.08891992270946503,55993
global,ap_hi,0.03920837864279747,0.08427596837282181,55993
global,ap_lo,0.04803171753883362,0.09167304635047913,55993
global,cholesterol,0.04405023530125618,0.0837458074092865,55993
global,gluc,0.040833234786987305,0.08377033472061157,55993
global,smoke,0.060826584696769714,0.10002414137125015,55993
global,alco,0.04529181495308876,0.08562809228897095,55993
global,active,0.05970887094736099,0.0965007096529007,55993
global,age_years,0.040715232491493225,0.08330657333135605,55993
global,age_group,0.05236959457397461,0.09346932172775269,55993
global,bmi,0.07545307278633118,0.10792000591754913,55993
global,bmi_group,0.06257175654172897,0.09946858882904053,55993
global,pulse_pressure,0.07210519909858704,0.10833057761192322,55993
global,bp_stage,0.050544623285532,0.09231989830732346,55993
global,cholesterol_category,0.03891069442033768,0.07824386656284332,55993
global,glucose_category,0.06291357427835464,0.1015220433473587,55993
global,lifestyle_risk,0.04084605723619461,0.08528528362512589,55993
