fold,roc_auc,pr_auc,accuracy,f1,brier,ece,f1_best,threshold_f1,f1_recall_08,threshold_recall_08,f1_recall_09,threshold_recall_09,n_train_fold,n_val_fold
0,0.7983309704530033,0.7829231458553337,0.7363157424770069,0.7256850905712958,0.1816115947529869,0.009836307786880986,0.7387107893829714,0.4099999999999998,0.7379366368309972,0.3560827165047138,0.7256229295212323,0.2636672502250762,44794,11199
1,0.8025081529258361,0.7906468184132481,0.7350656308598982,0.7223729765135211,0.18042782074725902,0.01416839241027226,0.7428245270711024,0.33999999999999986,0.743486000921476,0.33561936539678855,0.7326646314388741,0.2650250271203083,44794,11199
2,0.8098387536698213,0.7966183215436444,0.7435485311188499,0.7325884543761638,0.17643277919862368,0.013927421866293123,0.7471967380224261,0.3799999999999999,0.7471121083188971,0.36066842351238365,0.7348391313338417,0.2527898055370032,44794,11199
3,0.8022275786575764,0.7855284466864486,0.7340596535095553,0.7180458246544215,0.18032600155071382,0.014363401615748075,0.7437699680511182,0.32999999999999985,0.7443759506350336,0.33192313642272714,0.7295770567304737,0.2645979768264908,44795,11198
4,0.7984515320398948,0.7801488075178153,0.7333452402214681,0.7207257762813318,0.18213710354862106,0.01195870004167342,0.7423191278493558,0.3599999999999999,0.7423429372903371,0.35970009868132635,0.7309886617558391,0.2633190803436569,44795,11198
