feature,scope,group,mean_importance,std_importance,n_samples,model
alco,fold,fold_3,0.0015791016631102662,,,rf
active,fold,fold_3,0.006917651834485322,,,rf
age_years,fold,fold_3,0.10528699745495117,,,rf
age_group,fold,fold_3,0.015388406120083378,,,rf
bmi,fold,fold_3,0.03730741740019926,,,rf
bmi_group,fold,fold_3,0.0018708474106572397,,,rf
overweight_flag,fold,fold_3,0.000780893410532883,,,rf
pulse_pressure,fold,fold_3,0.03443005406810179,,,rf
bp_stage,fold,fold_3,0.1527969975056006,,,rf
chol_high,fold,fold_3,0.006012884090141274,,,rf
cholesterol_category,fold,fold_3,0.036655009790543196,,,rf
gluc_high,fold,fold_3,0.001193822916745815,,,rf
glucose_category,fold,fold_3,0.0034719885925270887,,,rf
lifestyle_risk,fold,fold_3,0.004531950763515911,,,rf
gender,fold,fold_4,0.0028184214322876555,,,rf
height,fold,fold_4,0.01706928649158833,,,rf
weight,fold,fold_4,0.02548128752733045,,,rf
ap_hi,fold,fold_4,0.3015095996364007,,,rf
ap_lo,fold,fold_4,0.09398140327129384,,,rf
cholesterol,fold,fold_4,0.03770546559997952,,,rf
gluc,fold,fold_4,0.0043694870572644545,,,rf
smoke,fold,fold_4,0.0020458331207804698,,,rf
alco,fold,fold_4,0.0021596287885357495,,,rf
active,fold,fold_4,0.005516081898705648,,,rf
age_years,fold,fold_4,0.07814768781646304,,,rf
age_group,fold,fold_4,0.028473295418898977,,,rf
bmi,fold,fold_4,0.03429323000573211,,,rf
bmi_group,fold,fold_4,0.0058169010698864015,,,rf
overweight_flag,fold,fold_4,0.0026620700607797227,,,rf
pulse_pressure,fold,fold_4,0.10291319564012609,,,rf
bp_stage,fold,fold_4,0.1869623432313289,,,rf
chol_high,fold,fold_4,0.01731672383281652,,,rf
cholesterol_category,fold,fold_4,0.038553434103886765,,,rf
gluc_high,fold,fold_4,0.002502474132007356,,,rf
glucose_category,fold,fold_4,0.004282120353853708,,,rf
lifestyle_risk,fold,fold_4,0.005420029510053585,,,rf
