support,itemsets
0.03109317236083082,"frozenset({'cholesterol_category', 'bmi_group'})"
0.05013126640830104,"frozenset({'glucose_category', 'bmi_group'})"
0.06983015734109621,"frozenset({'lifestyle_risk', 'bmi_group'})"
0.09779793902809279,"frozenset({'cardio', 'bmi_group'})"
0.031914703623667245,"frozenset({'glucose_category', 'pulse_pressure'})"
0.0860464700944761,"frozenset({'cardio', 'pulse_pressure'})"
0.03464718804136231,"frozenset({'cholesterol_category', 'bp_stage'})"
0.05745361027271266,"frozenset({'bp_stage', 'lifestyle_risk'})"
0.11558587680602933,"frozenset({'cardio', 'bp_stage'})"
0.04382690693479542,"frozenset({'cholesterol_category', 'glucose_category'})"
0.03243262550675977,"frozenset({'cholesterol_category', 'lifestyle_risk'})"
0.0844927044451985,"frozenset({'cardio', 'cholesterol_category'})"
0.04552354758630543,"frozenset({'glucose_category', 'lifestyle_risk'})"
0.07834907934920436,"frozenset({'cardio', 'glucose_category'})"
0.0922436733163074,"frozenset({'cardio', 'lifestyle_risk'})"
0.03139678174057471,"frozenset({'ap_hi', 'glucose_category', 'gender'})"
0.03207543800117872,"frozenset({'cardio', 'cholesterol', 'gender'})"
0.03152179736752808,"frozenset({'cardio', 'bmi', 'gender'})"
0.03577232868394264,"frozenset({'lifestyle_risk', 'height', 'bmi_group'})"
0.030021609844087655,"frozenset({'lifestyle_risk', 'height', 'bp_stage'})"
0.03455789116496705,"frozenset({'ap_hi', 'weight', 'gluc'})"
0.039826406872287605,"frozenset({'ap_lo', 'weight', 'smoke'})"
0.03554015680531495,"frozenset({'cardio', 'ap_lo', 'weight'})"
0.044380547568446053,"frozenset({'cardio', 'smoke', 'weight'})"
0.03361134427517726,"frozenset({'cardio', 'weight', 'pulse_pressure'})"
0.03123604736306324,"frozenset({'cardio', 'bp_stage', 'weight'})"
0.03205757862589967,"frozenset({'cardio', 'ap_lo', 'cholesterol'})"
0.036879609951243904,"frozenset({'ap_lo', 'smoke', 'pulse_pressure'})"
0.05718571964352687,"frozenset({'cardio', 'ap_lo', 'smoke'})"
0.03621881306591895,"frozenset({'ap_lo', 'active', 'age_group'})"
0.04220170378440162,"frozenset({'cardio', 'active', 'ap_lo'})"
0.03825478184773096,"frozenset({'cardio', 'ap_lo', 'age_group'})"
0.0323076098798064,"frozenset({'cardio', 'ap_lo', 'pulse_pressure'})"
0.03652242244566285,"frozenset({'cholesterol_category', 'smoke', 'age_years'})"
0.03546871930419874,"frozenset({'cardio', 'smoke', 'age_group'})"
0.034790063043594735,"frozenset({'glucose_category', 'bmi', 'alco'})"
0.03070026610469166,"frozenset({'cardio', 'bmi', 'alco'})"
0.03143250049113282,"frozenset({'cardio', 'glucose_category', 'alco'})"
0.04296965692140089,"frozenset({'cardio', 'active', 'age_group'})"
0.03289696926401515,"frozenset({'cardio', 'bp_stage', 'age_years'})"
0.03645098494454664,"frozenset({'cardio', 'cholesterol_category', 'bmi'})"
0.03418284428410694,"frozenset({'bp_stage', 'lifestyle_risk', 'bmi_group'})"
0.036040219313128424,"frozenset({'cardio', 'bp_stage', 'bmi_group'})"
0.03768328183880128,"frozenset({'cardio', 'lifestyle_risk', 'bmi_group'})"
0.030485953601343024,"frozenset({'cardio', 'bp_stage', 'lifestyle_risk'})"
0.03086100048220313,"frozenset({'cardio', 'ap_lo', 'weight', 'smoke'})"
