antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ap_lo'}),frozenset({'cardio'}),0.2000071437501116,0.4997053203078956,0.13507045523547587,0.6753281542994911,1.351452799988971,1.0,0.03512582140395902,1.5409241248272494,0.32507233917417233,0.2392143218623482,0.35103877998398625,0.472814184369188
frozenset({'bp_stage'}),frozenset({'cardio'}),0.2000071437501116,0.4997053203078956,0.12403336131302127,0.6201446557728368,1.241020718752268,1.0,0.024088727481504424,1.3170663182585511,0.2427667678803404,0.215455729974561,0.2407367904433104,0.43417883253259426
"frozenset({'bmi', 'gender'})",frozenset({'cardio'}),0.04323754755058668,0.4997053203078956,0.030843141106924078,0.7133415943824866,1.42752451373333,1.0,0.009237108558830292,1.7452642932774995,0.3130208911819088,0.06022877868452256,0.4270208793866623,0.3875321267123298
"frozenset({'bp_stage', 'weight'})",frozenset({'cardio'}),0.04959548514992945,0.4997053203078956,0.03486150054471095,0.7029168167086784,1.4066626632583643,1.0,0.01007837275203997,1.6840222127333018,0.3041836379173527,0.0677660128449922,0.40618360468243436,0.38634046696763447
"frozenset({'ap_lo', 'smoke'})",frozenset({'cardio'}),0.08526065758219778,0.4997053203078956,0.06640115728751808,0.7788018433179723,1.5585222163296364,1.0,0.02379595308074413,2.261748864441388,0.391769026171524,0.12804794048767046,0.557864263481356,0.4558412361693507
"frozenset({'ap_lo', 'active'})",frozenset({'cardio'}),0.05673923526155055,0.4997053203078956,0.04400550068758595,0.775574441296821,1.5520636058446353,1.0,0.015652602957187785,2.229223278235366,0.3770924456677827,0.08587460356184436,0.5514132613976688,0.4318186716848651
"frozenset({'ap_lo', 'age_group'})",frozenset({'cardio'}),0.039237047488078866,0.4997053203078956,0.030450234850784918,0.7760582612653618,1.553031816405697,1.0,0.010843273467818357,2.23403945382836,0.3706410488717124,0.05988339421185726,0.5523803313829795,0.4184973221980848
"frozenset({'ap_lo', 'cholesterol_category'})",frozenset({'cardio'}),0.048827532012930185,0.4997053203078956,0.03475434429303663,0.7117776152158011,1.424394710821242,1.0,0.010354966768671325,1.7357939775104234,0.31324225328156985,0.06764460511679643,0.42389476345904936,0.39066364677873683
"frozenset({'bp_stage', 'cholesterol'})",frozenset({'cardio'}),0.056882110263782974,0.4997053203078956,0.03689746932652296,0.6486656200941915,1.2980962854157994,1.0,0.008473176197370251,1.4239844100262309,0.24349142661214906,0.07099900340217877,0.2977451206916098,0.36125203806711004
"frozenset({'cholesterol_category', 'smoke'})",frozenset({'cardio'}),0.04922043826906935,0.4997053203078956,0.031718250495597664,0.6444121915820029,1.2895844118388524,1.0,0.007122535624657363,1.4069511604402447,0.23618133226112645,0.06132596685082873,0.28924327431018065,0.35394305075883564
"frozenset({'alco', 'bmi'})",frozenset({'cardio'}),0.057614344650224136,0.4997053203078956,0.037844016216312754,0.6568505889646621,1.3144758766225277,1.0,0.00905382166854301,1.457949987973558,0.2538668821545006,0.07285041427441812,0.31410541633878286,0.36629162757739897
"frozenset({'bp_stage', 'age_years'})",frozenset({'cardio'}),0.07136606361509475,0.4997053203078956,0.051792188309252946,0.7257257257257258,1.452307382436046,1.0,0.016130186631358373,1.8240670985854468,0.3353749188447876,0.09973861604072087,0.451774553263148,0.4146855933846642
