fold,epoch,accuracy,loss,val_accuracy,val_loss,val_pr_auc
0,50,0.7370629906654358,0.5413793921470642,0.738280177116394,0.5441643595695496,0.7870389468911387
1,24,0.7372192740440369,0.5437270402908325,0.7343512773513794,0.5403765439987183,0.7862522924332519
2,46,0.7375764846801758,0.5424397587776184,0.7439057230949402,0.5306744575500488,0.7976456301299463
3,17,0.7355061769485474,0.5454206466674805,0.7367386817932129,0.5416271090507507,0.7820198118702526
4,36,0.7381404042243958,0.5420448780059814,0.7325415015220642,0.544921338558197,0.7763854394061613
