fold,roc_auc,pr_auc,accuracy,f1,brier,ece,f1_best,threshold_f1,f1_recall_08,threshold_recall_08,f1_recall_09,threshold_recall_09,n_train_fold,n_val_fold
0,0.7999275252956619,0.7870389468911387,0.7385480846504152,0.7296398891966759,0.18123881120813695,0.007471455093054368,0.7407653910149751,0.3899999999999999,0.7417022674495025,0.3781032875582728,0.7279953750060267,0.2662375361859228,44794,11199
1,0.8018034987638731,0.7862522924332519,0.7342619876774712,0.7223362567643217,0.18044626267389427,0.015398925492752192,0.7420596727622714,0.33999999999999986,0.7425352112180981,0.3435359919802573,0.7300529023360154,0.26817232377897265,44794,11199
2,0.8100730749393035,0.7976456301299463,0.7438164121796589,0.7337354988399072,0.1762912812493177,0.01265977241722615,0.7470524291328706,0.3799999999999999,0.7474123538734216,0.37819598346048383,0.7354286128573276,0.25851940653361954,44794,11199
3,0.8020211592204255,0.7820198118702526,0.7370066083229148,0.7252542214758839,0.18024408741729697,0.01102276641953871,0.7439824945295405,0.34999999999999987,0.7442951933474349,0.3487019387164945,0.7286384976044182,0.26365774566772826,44795,11198
4,0.7985657469672196,0.7763854394061613,0.7345954634756207,0.7232774674115456,0.1817655858265766,0.009564334537367464,0.7431237721021611,0.3599999999999999,0.7434685244588416,0.3716198605488341,0.7302940538496714,0.2676783448502213,44795,11198
